program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
leeHom,gen_n1000000_l225_merged.fq.gz,1000000,225,999911,998431,1480,3259,277723,717449,0.148,0.326,27.772,71.745,280982,
leeHom,gen_n1000000_l226_merged.fq.gz,1000000,226,999920,998318,1602,3401,280220,714697,0.16,0.34,28.022,71.47,283621,
leeHom,gen_n1000000_l227_merged.fq.gz,1000000,227,999921,998119,1802,3515,282641,711963,0.18,0.351,28.264,71.196,286156,
leeHom,gen_n1000000_l228_merged.fq.gz,1000000,228,999925,998003,1922,3532,287398,707073,0.192,0.353,28.74,70.707,290930,
leeHom,gen_n1000000_l229_merged.fq.gz,1000000,229,999915,997792,2123,3851,289327,704614,0.212,0.385,28.933,70.461,293178,
leeHom,gen_n1000000_l22_merged.fq.gz,1000000,22,999918,1000000,-82,0,4693,995307,-0.008,0.0,0.469,99.531,4693,
leeHom,gen_n1000000_l230_merged.fq.gz,1000000,230,999909,997650,2259,4030,291912,701708,0.226,0.403,29.191,70.171,295942,
leeHom,gen_n1000000_l231_merged.fq.gz,1000000,231,999908,997370,2538,4176,295888,697306,0.254,0.418,29.589,69.731,300064,
leeHom,gen_n1000000_l232_merged.fq.gz,1000000,232,999927,997107,2820,4440,298579,694088,0.282,0.444,29.858,69.409,303019,
leeHom,gen_n1000000_l233_merged.fq.gz,1000000,233,999907,996731,3176,4795,301279,690657,0.318,0.479,30.128,69.066,306074,
leeHom,gen_n1000000_l234_merged.fq.gz,1000000,234,999922,996371,3551,4906,305150,686315,0.355,0.491,30.515,68.632,310056,
leeHom,gen_n1000000_l235_merged.fq.gz,1000000,235,999915,996004,3911,5241,306962,683801,0.391,0.524,30.696,68.38,312203,
leeHom,gen_n1000000_l236_merged.fq.gz,1000000,236,999917,995512,4405,5611,310584,679317,0.441,0.561,31.058,67.932,316195,
leeHom,gen_n1000000_l237_merged.fq.gz,1000000,237,999921,994925,4996,5992,313491,675442,0.5,0.599,31.349,67.544,319483,
leeHom,gen_n1000000_l238_merged.fq.gz,1000000,238,999925,994494,5431,6115,316055,672324,0.543,0.611,31.605,67.232,322170,
leeHom,gen_n1000000_l239_merged.fq.gz,1000000,239,999926,992741,7185,6722,318293,667726,0.719,0.672,31.829,66.773,325015,
leeHom,gen_n1000000_l23_merged.fq.gz,1000000,23,999913,1000000,-87,0,4864,995136,-0.009,0.0,0.486,99.514,4864,
leeHom,gen_n1000000_l240_merged.fq.gz,1000000,240,999921,14988,984933,14988,0,0,98.493,1.499,0.0,0.0,14988,
leeHom,gen_n1000000_l241_merged.fq.gz,1000000,241,999922,15155,984767,15155,0,0,98.477,1.516,0.0,0.0,15155,
leeHom,gen_n1000000_l242_merged.fq.gz,1000000,242,999910,15141,984769,15141,0,0,98.477,1.514,0.0,0.0,15141,
leeHom,gen_n1000000_l243_merged.fq.gz,1000000,243,999926,15233,984693,15233,0,0,98.469,1.523,0.0,0.0,15233,
leeHom,gen_n1000000_l244_merged.fq.gz,1000000,244,999921,14662,985259,14662,0,0,98.526,1.466,0.0,0.0,14662,
leeHom,gen_n1000000_l245_merged.fq.gz,1000000,245,999908,14048,985860,14048,0,0,98.586,1.405,0.0,0.0,14048,
leeHom,gen_n1000000_l246_merged.fq.gz,1000000,246,999926,14036,985890,14036,0,0,98.589,1.404,0.0,0.0,14036,
leeHom,gen_n1000000_l247_merged.fq.gz,1000000,247,999918,14143,985775,14143,0,0,98.578,1.414,0.0,0.0,14143,
leeHom,gen_n1000000_l248_merged.fq.gz,1000000,248,999911,14188,985723,14188,0,0,98.572,1.419,0.0,0.0,14188,
leeHom,gen_n1000000_l249_merged.fq.gz,1000000,249,999912,14503,985409,14503,0,0,98.541,1.45,0.0,0.0,14503,
leeHom,gen_n1000000_l24_merged.fq.gz,1000000,24,999929,1000000,-71,0,5128,994872,-0.007,0.0,0.513,99.487,5128,
leeHom,gen_n1000000_l250_merged.fq.gz,1000000,250,999916,13966,985950,13966,0,0,98.595,1.397,0.0,0.0,13966,
leeHom,gen_n1000000_l25_merged.fq.gz,1000000,25,999922,999998,-76,0,5363,994635,-0.008,0.0,0.536,99.464,5363,
leeHom,gen_n1000000_l26_merged.fq.gz,1000000,26,999912,1000000,-88,0,5458,994542,-0.009,0.0,0.546,99.454,5458,
leeHom,gen_n1000000_l27_merged.fq.gz,1000000,27,999930,1000000,-70,0,5615,994385,-0.007,0.0,0.561,99.438,5615,
