program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
fastp,gen_n1000000_l220_merged.fq,1000000,220,999916,1000000,-84,9100,282167,708733,-0.008,0.91,28.217,70.873,291267,
fastp,gen_n1000000_l221_merged.fq,1000000,221,999924,1000000,-76,9449,284663,705888,-0.008,0.945,28.466,70.589,294112,
fastp,gen_n1000000_l222_merged.fq,1000000,222,999924,1000000,-76,10171,286328,703501,-0.008,1.017,28.633,70.35,296499,
fastp,gen_n1000000_l223_merged.fq,1000000,223,999932,1000000,-68,10692,289001,700307,-0.007,1.069,28.9,70.031,299693,
fastp,gen_n1000000_l224_merged.fq,1000000,224,999922,1000000,-78,11241,290080,698679,-0.008,1.124,29.008,69.868,301321,
fastp,gen_n1000000_l225_merged.fq,1000000,225,999911,1000000,-89,12194,293427,694379,-0.009,1.219,29.343,69.438,305621,
fastp,gen_n1000000_l226_merged.fq,1000000,226,999920,1000000,-80,12860,294793,692347,-0.008,1.286,29.479,69.235,307653,
fastp,gen_n1000000_l227_merged.fq,1000000,227,999921,999999,-78,13636,296388,689975,-0.008,1.364,29.639,68.998,310024,
fastp,gen_n1000000_l228_merged.fq,1000000,228,999925,999997,-72,13963,299901,686133,-0.007,1.396,29.99,68.613,313864,
fastp,gen_n1000000_l229_merged.fq,1000000,229,999915,999987,-72,14667,300906,684414,-0.007,1.467,30.091,68.441,315573,
fastp,gen_n1000000_l22_merged.fq,1000000,22,999918,1000000,-82,1914,20381,977705,-0.008,0.191,2.038,97.77,22295,
fastp,gen_n1000000_l230_merged.fq,1000000,230,999909,999952,-43,15449,302767,681736,-0.004,1.545,30.277,68.174,318216,
fastp,gen_n1000000_l231_merged.fq,1000000,231,999908,999846,62,15510,305754,678582,0.006,1.551,30.575,67.858,321264,
fastp,gen_n1000000_l232_merged.fq,1000000,232,999927,999548,379,16400,307525,675623,0.038,1.64,30.752,67.562,323925,
fastp,gen_n1000000_l233_merged.fq,1000000,233,999907,999573,334,17134,309739,672700,0.033,1.713,30.974,67.27,326873,
fastp,gen_n1000000_l234_merged.fq,1000000,234,999922,999346,576,18038,312390,668918,0.058,1.804,31.239,66.892,330428,
