program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
ClipAndMerge,gen_n1000000_l231_merged.fq,1000000,231,999908,639830,360078,5493,186357,447980,36.008,0.549,18.636,44.798,191850,
ClipAndMerge,gen_n1000000_l232_merged.fq,1000000,232,999927,641881,358046,5602,189299,446980,35.805,0.56,18.93,44.698,194901,
ClipAndMerge,gen_n1000000_l233_merged.fq,1000000,233,999907,643017,356890,5512,190949,446556,35.689,0.551,19.095,44.656,196461,
ClipAndMerge,gen_n1000000_l234_merged.fq,1000000,234,999922,646073,353849,5504,194809,445760,35.385,0.55,19.481,44.576,200313,
ClipAndMerge,gen_n1000000_l235_merged.fq,1000000,235,999915,649130,350785,5906,197337,445887,35.078,0.591,19.734,44.589,203243,
ClipAndMerge,gen_n1000000_l236_merged.fq,1000000,236,999917,652615,347302,5705,201208,445702,34.73,0.571,20.121,44.57,206913,
ClipAndMerge,gen_n1000000_l237_merged.fq,1000000,237,999921,654886,345035,5802,203991,445093,34.503,0.58,20.399,44.509,209793,
ClipAndMerge,gen_n1000000_l238_merged.fq,1000000,238,999925,658283,341642,5860,206730,445693,34.164,0.586,20.673,44.569,212590,
ClipAndMerge,gen_n1000000_l239_merged.fq,1000000,239,999926,661670,338256,6337,210092,445241,33.826,0.634,21.009,44.524,216429,
ClipAndMerge,gen_n1000000_l23_merged.fq,1000000,23,999913,998317,1596,2,4640,993675,0.16,0.0,0.464,99.367,4642,
ClipAndMerge,gen_n1000000_l240_merged.fq,1000000,240,999921,666492,333429,6882,213944,445666,33.343,0.688,21.394,44.567,220826,
ClipAndMerge,gen_n1000000_l241_merged.fq,1000000,241,999922,8479,991443,8479,0,0,99.144,0.848,0.0,0.0,8479,
ClipAndMerge,gen_n1000000_l242_merged.fq,1000000,242,999910,8308,991602,8308,0,0,99.16,0.831,0.0,0.0,8308,
ClipAndMerge,gen_n1000000_l243_merged.fq,1000000,243,999926,7934,991992,7934,0,0,99.199,0.793,0.0,0.0,7934,
ClipAndMerge,gen_n1000000_l244_merged.fq,1000000,244,999921,8006,991915,8006,0,0,99.192,0.801,0.0,0.0,8006,
ClipAndMerge,gen_n1000000_l245_merged.fq,1000000,245,999908,8194,991714,8194,0,0,99.171,0.819,0.0,0.0,8194,
ClipAndMerge,gen_n1000000_l246_merged.fq,1000000,246,999926,7432,992494,7432,0,0,99.249,0.743,0.0,0.0,7432,
ClipAndMerge,gen_n1000000_l247_merged.fq,1000000,247,999918,7064,992854,7064,0,0,99.285,0.706,0.0,0.0,7064,
ClipAndMerge,gen_n1000000_l248_merged.fq,1000000,248,999911,6948,992963,6948,0,0,99.296,0.695,0.0,0.0,6948,
ClipAndMerge,gen_n1000000_l249_merged.fq,1000000,249,999912,6891,993021,6891,0,0,99.302,0.689,0.0,0.0,6891,
ClipAndMerge,gen_n1000000_l24_merged.fq,1000000,24,999929,998132,1797,2,4819,993311,0.18,0.0,0.482,99.331,4821,
ClipAndMerge,gen_n1000000_l250_merged.fq,1000000,250,999916,7429,992487,7429,0,0,99.249,0.743,0.0,0.0,7429,
ClipAndMerge,gen_n1000000_l25_merged.fq,1000000,25,999922,998056,1866,4,5074,992978,0.187,0.0,0.507,99.298,5078,
ClipAndMerge,gen_n1000000_l26_merged.fq,1000000,26,999912,997922,1990,2,5149,992771,0.199,0.0,0.515,99.277,5151,
