program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,avg_divergence_per_nt,edit_distances
bbmerge,gen_n1000000_l212_merged.fq,1000000,212,999932,949625,50375,0.129,0:721730 1:198227 2:27052 3:2431 4:177 5:8
bbmerge,gen_n1000000_l213_merged.fq,1000000,213,999908,948247,51753,0.131,0:717308 1:200664 2:27481 3:2610 4:171 5:10 6:3
bbmerge,gen_n1000000_l214_merged.fq,1000000,214,999942,946950,53050,0.132,0:714177 1:201777 2:28153 3:2673 4:156 5:13 6:1
bbmerge,gen_n1000000_l215_merged.fq,1000000,215,999920,946574,53426,0.133,0:711458 1:203589 2:28672 3:2644 4:202 5:9
bbmerge,gen_n1000000_l216_merged.fq,1000000,216,999909,944679,55321,0.134,0:707721 1:204360 2:29520 3:2851 4:214 5:13
bbmerge,gen_n1000000_l217_merged.fq,1000000,217,999912,941698,58302,0.135,0:702381 1:206098 2:30106 3:2889 4:206 5:18
bbmerge,gen_n1000000_l218_merged.fq,1000000,218,999913,939320,60680,0.136,0:697983 1:207246 2:30871 3:2972 4:228 5:20
bbmerge,gen_n1000000_l219_merged.fq,1000000,219,999920,939059,60941,0.138,0:694199 1:210120 2:31430 3:3095 4:202 5:12 6:1
bbmerge,gen_n1000000_l21_merged.fq,1000000,21,999931,928354,71646,0.002,0:927955 1:399
bbmerge,gen_n1000000_l220_merged.fq,1000000,220,999915,937878,62122,0.138,0:691786 1:210696 2:32124 3:3041 4:217 5:12 6:2
bbmerge,gen_n1000000_l221_merged.fq,1000000,221,999934,928933,71067,0.139,0:682572 1:210694 2:32205 3:3195 4:257 5:10
bbmerge,gen_n1000000_l222_merged.fq,1000000,222,999919,928202,71798,0.14,0:679550 1:211903 2:33178 3:3285 4:271 5:15
bbmerge,gen_n1000000_l223_merged.fq,1000000,223,999916,920197,79803,0.142,0:670506 1:212512 2:33416 3:3472 4:272 5:19
bbmerge,gen_n1000000_l224_merged.fq,1000000,224,999929,916506,83494,0.142,0:666105 1:212636 2:33895 3:3568 4:278 5:23 6:1
bbmerge,gen_n1000000_l225_merged.fq,1000000,225,999927,914720,85280,0.144,0:660462 1:215534 2:34662 3:3763 4:274 5:23 6:2
bbmerge,gen_n1000000_l226_merged.fq,1000000,226,999910,912720,87280,0.145,0:657656 1:215478 2:35364 3:3851 4:337 5:33 6:1
bbmerge,gen_n1000000_l227_merged.fq,1000000,227,999895,908674,91326,0.146,0:651217 1:217465 2:35774 3:3869 4:320 5:28 6:1
bbmerge,gen_n1000000_l228_merged.fq,1000000,228,999915,905879,94121,0.148,0:646332 1:218764 2:36452 3:3947 4:363 5:19 6:2
bbmerge,gen_n1000000_l229_merged.fq,1000000,229,999929,893423,106577,0.149,0:634963 1:217424 2:36503 3:4178 4:332 5:21 6:2
bbmerge,gen_n1000000_l22_merged.fq,1000000,22,999929,935591,64409,0.003,0:935075 1:516
bbmerge,gen_n1000000_l230_merged.fq,1000000,230,999914,888162,111838,0.15,0:628631 1:217415 2:37561 3:4149 4:379 5:27
bbmerge,gen_n1000000_l231_merged.fq,1000000,231,999905,884538,115462,0.151,0:623825 1:218101 2:37799 3:4405 4:382 5:26
