program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length_reads,divergent_reads,average_divergence,dropped_reads_percentage,incorrect_length_percentage,divergent_reads_percentage,average_divergence_percentage,perfectly_reconstructed,perfectly_reconstructed_percentage
AdapterRemoval,gen_n1000000_l75_ar2.collapsed.gz,1000000,75,1000000,1000000,0,0,15941,0.016072,0.0,0.0,1.594,0.021,984059,98.406
AdapterRemoval,gen_n1000000_l76_ar2.collapsed.gz,1000000,76,1000000,1000000,0,0,16170,0.016292,0.0,0.0,1.617,0.021,983830,98.383
AdapterRemoval,gen_n1000000_l77_ar2.collapsed.gz,1000000,77,1000000,1000000,0,0,16172,0.016307,0.0,0.0,1.617,0.021,983828,98.383
AdapterRemoval,gen_n1000000_l78_ar2.collapsed.gz,1000000,78,1000000,1000000,0,0,16638,0.016787,0.0,0.0,1.664,0.022,983362,98.336
AdapterRemoval,gen_n1000000_l79_ar2.collapsed.gz,1000000,79,1000000,1000000,0,0,16722,0.016862,0.0,0.0,1.672,0.021,983278,98.328
AdapterRemoval,gen_n1000000_l7_ar2.collapsed.gz,1000000,7,1000000,1000000,0,0,2333,0.002334,0.0,0.0,0.233,0.033,997667,99.767
AdapterRemoval,gen_n1000000_l80_ar2.collapsed.gz,1000000,80,1000000,1000000,0,0,17216,0.01737,0.0,0.0,1.722,0.022,982784,98.278
AdapterRemoval,gen_n1000000_l81_ar2.collapsed.gz,1000000,81,1000000,1000000,0,0,17321,0.017476,0.0,0.0,1.732,0.022,982679,98.268
AdapterRemoval,gen_n1000000_l82_ar2.collapsed.gz,1000000,82,1000000,1000000,0,0,17497,0.017665,0.0,0.0,1.75,0.022,982503,98.25
AdapterRemoval,gen_n1000000_l83_ar2.collapsed.gz,1000000,83,1000000,1000000,0,0,17758,0.017933,0.0,0.0,1.776,0.022,982242,98.224
AdapterRemoval,gen_n1000000_l84_ar2.collapsed.gz,1000000,84,1000000,1000000,0,0,17916,0.018089,0.0,0.0,1.792,0.022,982084,98.208
AdapterRemoval,gen_n1000000_l85_ar2.collapsed.gz,1000000,85,1000000,1000000,0,0,18127,0.01831,0.0,0.0,1.813,0.022,981873,98.187
AdapterRemoval,gen_n1000000_l86_ar2.collapsed.gz,1000000,86,1000000,1000000,0,0,18386,0.018556,0.0,0.0,1.839,0.022,981614,98.161
AdapterRemoval,gen_n1000000_l87_ar2.collapsed.gz,1000000,87,1000000,1000000,0,0,18673,0.018827,0.0,0.0,1.867,0.022,981327,98.133
AdapterRemoval,gen_n1000000_l88_ar2.collapsed.gz,1000000,88,1000000,1000000,0,0,18945,0.019113,0.0,0.0,1.895,0.022,981055,98.106
AdapterRemoval,gen_n1000000_l89_ar2.collapsed.gz,1000000,89,1000000,1000000,0,0,19144,0.019333,0.0,0.0,1.914,0.022,980856,98.086
AdapterRemoval,gen_n1000000_l8_ar2.collapsed.gz,1000000,8,1000000,1000000,0,0,2301,0.002303,0.0,0.0,0.23,0.029,997699,99.77
AdapterRemoval,gen_n1000000_l90_ar2.collapsed.gz,1000000,90,1000000,1000000,0,0,19443,0.019621,0.0,0.0,1.944,0.022,980557,98.056
AdapterRemoval,gen_n1000000_l91_ar2.collapsed.gz,1000000,91,1000000,1000000,0,0,19611,0.019806,0.0,0.0,1.961,0.022,980389,98.039
AdapterRemoval,gen_n1000000_l92_ar2.collapsed.gz,1000000,92,1000000,1000000,0,0,19953,0.020135,0.0,0.0,1.995,0.022,980047,98.005
AdapterRemoval,gen_n1000000_l93_ar2.collapsed.gz,1000000,93,1000000,1000000,0,0,20065,0.020255,0.0,0.0,2.006,0.022,979935,97.993
AdapterRemoval,gen_n1000000_l94_ar2.collapsed.gz,1000000,94,1000000,1000000,0,0,20163,0.020361,0.0,0.0,2.016,0.022,979837,97.984
AdapterRemoval,gen_n1000000_l95_ar2.collapsed.gz,1000000,95,1000000,1000000,0,0,20456,0.020673,0.0,0.0,2.046,0.022,979544,97.954
AdapterRemoval,gen_n1000000_l96_ar2.collapsed.gz,1000000,96,1000000,1000000,0,0,20669,0.020873,0.0,0.0,2.067,0.022,979331,97.933
AdapterRemoval,gen_n1000000_l97_ar2.collapsed.gz,1000000,97,1000000,1000000,0,0,21232,0.021473,0.0,0.0,2.123,0.022,978768,97.877
AdapterRemoval,gen_n1000000_l98_ar2.collapsed.gz,1000000,98,1000000,1000000,0,0,21401,0.02162,0.0,0.0,2.14,0.022,978599,97.86
AdapterRemoval,gen_n1000000_l99_ar2.collapsed.gz,1000000,99,1000000,1000000,0,0,21745,0.021976,0.0,0.0,2.175,0.022,978255,97.826
AdapterRemoval,gen_n1000000_l9_ar2.collapsed.gz,1000000,9,1000000,1000000,0,0,2317,0.002319,0.0,0.0,0.232,0.026,997683,99.768
bbmerge,gen_n1000000_l1000_se_bb.fq.gz,1000000,1000,1000000,831,999169,831,831,835.1480144404333,99.917,0.083,100.0,83.515,0,0.0
bbmerge,gen_n1000000_l100_se_bb.fq.gz,1000000,100,1000000,985557,14443,0,29700,0.030417317313965606,1.444,0.0,3.014,0.03,955857,95.586
bbmerge,gen_n1000000_l101_se_bb.fq.gz,1000000,101,1000000,983523,16477,0,29926,0.030698824531810644,1.648,0.0,3.043,0.03,953597,95.36
bbmerge,gen_n1000000_l102_se_bb.fq.gz,1000000,102,1000000,984218,15782,0,30477,0.031302008294910276,1.578,0.0,3.097,0.031,953741,95.374
bbmerge,gen_n1000000_l103_se_bb.fq.gz,1000000,103,1000000,984883,15117,0,30424,0.031215890618479555,1.512,0.0,3.089,0.03,954459,95.446
