program,type,qs1,qs2,new_nt,new_qs
AdapterRemoval,match,12,26,s1,42
AdapterRemoval,match,12,27,s1,43
AdapterRemoval,match,12,28,s1,44
AdapterRemoval,match,12,29,s1,45
AdapterRemoval,match,12,30,s1,46
AdapterRemoval,match,12,31,s1,47
AdapterRemoval,match,12,32,s1,48
AdapterRemoval,match,12,33,s1,49
AdapterRemoval,match,12,34,s1,50
AdapterRemoval,match,12,35,s1,51
AdapterRemoval,match,12,36,s1,52
AdapterRemoval,match,12,37,s1,53
AdapterRemoval,match,12,38,s1,54
AdapterRemoval,match,12,39,s1,55
AdapterRemoval,match,12,40,s1,56
AdapterRemoval,match,12,41,s1,57
AdapterRemoval,match,13,0,s1,12
AdapterRemoval,match,13,1,s1,12
AdapterRemoval,match,13,2,s1,15
AdapterRemoval,match,13,3,s1,17
AdapterRemoval,match,13,4,s1,19
AdapterRemoval,match,13,5,s1,20
AdapterRemoval,match,13,6,s1,22
AdapterRemoval,match,13,7,s1,23
AdapterRemoval,match,13,8,s1,24
AdapterRemoval,match,13,9,s1,25
AdapterRemoval,match,13,10,s1,27
AdapterRemoval,match,13,11,s1,28
AdapterRemoval,match,13,12,s1,29
AdapterRemoval,match,13,13,s1,30
AdapterRemoval,match,13,14,s1,31
AdapterRemoval,match,13,15,s1,32
AdapterRemoval,match,13,16,s1,33
AdapterRemoval,match,13,17,s1,34
AdapterRemoval,match,13,18,s1,35
AdapterRemoval,match,13,19,s1,36
AdapterRemoval,match,13,20,s1,37
AdapterRemoval,match,13,21,s1,38
AdapterRemoval,match,13,22,s1,39
AdapterRemoval,match,13,23,s1,40
AdapterRemoval,match,13,24,s1,41
AdapterRemoval,match,13,25,s1,42
AdapterRemoval,match,13,26,s1,43
AdapterRemoval,match,13,27,s1,44
AdapterRemoval,match,13,28,s1,45
AdapterRemoval,match,13,29,s1,46
AdapterRemoval,match,13,30,s1,47
AdapterRemoval,match,13,31,s1,48
AdapterRemoval,match,13,32,s1,49
AdapterRemoval,match,13,33,s1,50
AdapterRemoval,match,13,34,s1,51
AdapterRemoval,match,13,35,s1,52
AdapterRemoval,match,13,36,s1,53
AdapterRemoval,match,13,37,s1,54
AdapterRemoval,match,13,38,s1,55
AdapterRemoval,match,13,39,s1,56
AdapterRemoval,match,13,40,s1,57
AdapterRemoval,match,13,41,s1,58
AdapterRemoval,match,14,0,s1,14
AdapterRemoval,match,14,1,s1,14
AdapterRemoval,match,14,2,s1,16
